plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
159,0,vhu,poci,class,1,NA,99.9,31.9,NA
160,1,ana,poci,class,NA,NA,NA,0.0,NA
160,0,man,poci,class,NA,NA,NA,0.0,NA
160,0,vhu,poci,class,1,NA,100.0,26.2,NA
161,1,ana,poci,class,1,NA,100.0,3.8,NA
161,0,man,poci,class,NA,NA,NA,0.0,NA
161,0,vhu,poci,class,1,NA,100.0,41.1,NA
162,1,ana,poci,class,1,NA,99.9,1.5,NA
162,0,man,poci,class,1,NA,100.1,3.4,NA
162,0,vhu,poci,class,1,NA,99.9,11.1,NA
163,1,ana,poci,class,NA,NA,NA,0.0,NA
163,0,man,poci,class,1,NA,99.9,3.2,NA
163,0,vhu,poci,class,1,NA,100.0,15.8,NA
164,1,ana,poci,class,NA,NA,NA,0.0,NA
164,0,man,poci,class,1,NA,100.1,5.2,NA
