point,transect,x,y,z
626,A,-0.7350,-17.3801,-9.5823
627,A,-0.7370,-17.3703,-9.5889
628,A,-0.7390,-17.3605,-9.5432
629,A,-0.7410,-17.3507,-9.5409
630,A,-0.7431,-17.3409,-9.5457
631,A,-0.7451,-17.3311,-9.5539
632,A,-0.7471,-17.3213,-9.5539
633,A,-0.7491,-17.3115,-9.5681
634,A,-0.7511,-17.3017,-9.5604
635,A,-0.7531,-17.2919,-9.5433
636,A,-0.7552,-17.2821,-9.5356
637,A,-0.7572,-17.2723,-9.4028
638,A,-0.7592,-17.2625,-9.3934
639,A,-0.7612,-17.2527,-9.3868
640,A,-0.7632,-17.2429,-9.3822
641,A,-0.7652,-17.2330,-9.3805
642,A,-0.7672,-17.2232,-9.3855
643,A,-0.7693,-17.2134,-9.3872
644,A,-0.7713,-17.2036,-9.3870
